Serial Number,Rating kVA,Manufacturer,Year,Status,Site Name,Latitude,Longitude,Region,Data Source,Position Basis
OSM-0001,200,Unspecified,2020,IN_FIELD,Kilimani distribution point,-1.287962,36.780417,Nairobi — Kilimani,OSM power=transformer,Surveyed asset position
OSM-0002,200,Unspecified,2020,IN_FIELD,Upper Hill distribution point,-1.290407,36.800636,Nairobi — Upper Hill,OSM power=pole,Surveyed asset position
OSM-0003,200,Unspecified,2020,IN_FIELD,South B distribution point,-1.308006,36.833782,Nairobi — South B,OSM power=pole,Surveyed asset position
OSM-0004,500,Unspecified,2020,IN_FIELD,Westlands Sub Station,-1.256843,36.799528,Nairobi — Westlands,OSM power=substation,Surveyed asset position
OSM-0005,500,Unspecified,2020,IN_FIELD,Parklands distribution point,-1.256093,36.820567,Nairobi — Parklands,OSM power=substation,Surveyed asset position
OSM-0006,500,Unspecified,2020,IN_FIELD,Kenya Water Institute,-1.315437,36.824250,Nairobi — South C,OSM amenity=college,"Site centroid, transformer inferred"
OSM-0007,500,Unspecified,2020,IN_FIELD,Kenya Power Sub Station Kileleshwa,-1.282965,36.786634,Nairobi — Kilimani,OSM power=substation,Surveyed asset position
OSM-0008,200,Unspecified,2020,IN_FIELD,Upper Hill distribution point,-1.290692,36.801663,Nairobi — Upper Hill,OSM power=pole,Surveyed asset position
OSM-0009,500,Unspecified,2020,IN_FIELD,South B distribution point,-1.301797,36.832020,Nairobi — South B,OSM power=substation,Surveyed asset position
OSM-0010,200,Unspecified,2020,IN_FIELD,Consolata School,-1.267486,36.804060,Nairobi — Westlands,OSM amenity=school,"Site centroid, transformer inferred"
OSM-0011,200,Unspecified,2020,IN_FIELD,Aga Khan Nursery,-1.272168,36.814921,Nairobi — Parklands,OSM amenity=school,"Site centroid, transformer inferred"
OSM-0012,200,Unspecified,2020,IN_FIELD,Shell,-1.316337,36.814074,Nairobi — South C,OSM amenity=fuel,"Site centroid, transformer inferred"
